Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold
RGS5,3974.956443451176,3.9699286384325005,1.0730390324579935,3.6997057127909394,2.1584961791704305e-4,0.011600134251863247,TRUE
DIAPH3,895.1902914925267,3.9668635308516835,0.6515706969892632,6.088155205845684,1.1421911933703037e-9,1.2441317573786032e-6,TRUE
CYR61,18514.093453616748,3.962797200476635,1.1085761775507483,3.574672882861247,3.506660431413716e-4,0.015697109075002973,TRUE
MYOF,13185.126795432378,3.9574420310489153,1.0161942665686206,3.8943754764647465,9.84520506263586e-5,0.0071372059319628365,TRUE
CAV1,9044.55534009381,3.9125696788808453,1.1439024639100799,3.420370007340421,6.253601512180027e-4,0.0234214399328668,TRUE
LZTS1,3910.1826346901694,3.906908145337785,0.851009641670827,4.590909378731796,4.413189331932669e-6,8.360115617056799e-4,TRUE
MARCH4,520.8695596321767,3.9051875739546538,0.9364080663355739,4.1703907883202485,3.0407775234863245e-5,0.003517345399069889,TRUE
IGFBP6,705.7314077816953,3.9034300963312507,1.1558688257864633,3.377052836142823,7.326697481763925e-4,0.025674869379125,TRUE
RCN3,2348.940404580948,3.872670088952766,0.7871998956183367,4.919551070202857,8.674293403608282e-7,2.2233180682186985e-4,TRUE
AXL,11308.308671743845,3.760991560550004,1.1201588396471809,3.357552007298012,7.863594873105351e-4,0.026559444079162803,TRUE
CNN2,5179.228266923599,3.760137218411561,0.9075577801655448,4.143138101604601,3.4258550154560095e-5,0.0037171047566546124,TRUE
MYO1B,4361.119670072363,3.748671309152668,0.7361966975370124,5.09194257688748,3.5441345241272573e-7,1.2868161768018717e-4,TRUE
ADAM19,3018.0833855484752,3.7434966114019397,0.6987673125433302,5.357286387333419,8.448115631449575e-8,4.4013340029476107e-5,TRUE
ARHGAP29,1954.4779471836837,3.7284174889866217,1.0382988651090086,3.590890459651214,3.295501281413346e-4,0.015061362674599245,TRUE
TRIB2,19319.420830271334,3.709884556031445,0.983435837958632,3.7723707158488775,NA,NA,NA
FBLN2,4088.804345493534,3.7078371462546205,0.7309210538921725,5.072828490177286,3.919457336003133e-7,1.3136212009973576e-4,TRUE
WNT5B,1010.6846593467906,3.7008295376030276,0.9613239835778942,3.849721426723519,1.1825223974669605e-4,0.008135131714363496,TRUE
CARMN,2442.1717566147363,3.6786217276403614,1.276712237187,2.8813240920644154,0.003960082145851073,0.06883275761757895,FALSE
CDH6,2905.1155720299903,3.6718711110484774,0.7463822429305351,4.919558504810536,8.673963948383466e-7,2.2233180682186985e-4,TRUE
HIST1H3G,1946.5214288249165,3.6521937448425104,1.006341272759388,3.629180123784643,2.8432280592829556e-4,0.013738247183838974,TRUE
